batter,game_year,inning,H,WH
112526.0,2015.0,2.0,1,2.0
112526.0,2015.0,3.0,1,3.0
112526.0,2015.0,4.0,2,8.0
112526.0,2015.0,5.0,3,15.0
112526.0,2015.0,7.0,1,7.0
112526.0,2016.0,2.0,1,2.0
112526.0,2016.0,3.0,1,3.0
112526.0,2016.0,5.0,2,10.0
112526.0,2016.0,6.0,1,6.0
116338.0,2015.0,1.0,20,20.0
116338.0,2015.0,2.0,9,18.0
116338.0,2015.0,3.0,18,54.0
116338.0,2015.0,4.0,12,48.0
116338.0,2015.0,5.0,15,75.0
116338.0,2015.0,6.0,16,96.0
116338.0,2015.0,7.0,15,105.0
116338.0,2015.0,8.0,10,80.0
116338.0,2015.0,9.0,8,72.0
120074.0,2015.0,1.0,28,28.0
120074.0,2015.0,2.0,13,26.0
120074.0,2015.0,3.0,20,60.0
120074.0,2015.0,4.0,19,76.0
120074.0,2015.0,5.0,12,60.0
120074.0,2015.0,6.0,24,144.0
120074.0,2015.0,7.0,8,56.0
120074.0,2015.0,8.0,10,80.0
120074.0,2015.0,9.0,8,72.0
120074.0,2016.0,1.0,37,37.0
120074.0,2016.0,2.0,5,10.0
120074.0,2016.0,3.0,21,63.0
120074.0,2016.0,4.0,21,84.0
120074.0,2016.0,5.0,15,75.0
120074.0,2016.0,6.0,14,84.0
120074.0,2016.0,7.0,18,126.0
120074.0,2016.0,8.0,20,160.0
120074.0,2016.0,9.0,15,135.0
121347.0,2015.0,1.0,26,26.0
121347.0,2015.0,2.0,9,18.0
121347.0,2015.0,3.0,14,42.0
121347.0,2015.0,4.0,10,40.0
121347.0,2015.0,5.0,16,80.0
121347.0,2015.0,6.0,15,90.0
121347.0,2015.0,7.0,17,119.0
121347.0,2015.0,8.0,11,88.0
121347.0,2015.0,9.0,11,99.0
121347.0,2016.0,1.0,7,7.0
121347.0,2016.0,2.0,5,10.0
121347.0,2016.0,3.0,6,18.0
121347.0,2016.0,4.0,8,32.0
121347.0,2016.0,5.0,4,20.0
121347.0,2016.0,6.0,3,18.0
121347.0,2016.0,7.0,7,49.0
121347.0,2016.0,8.0,1,8.0
121347.0,2016.0,9.0,4,36.0
133380.0,2015.0,1.0,12,12.0
