,playerID,yearID,teamID,G,AB,R,H,RBI,BB,HBP,BA,OBP,batter,WH,AB_1-9,IABA,team
0,abreujo02,2015,CHA,154,613,88,178,101.0,39,15.0,0.2903752039151713,0.34782608695652173,547989,773.0,602,1.2840531561461794,CWS
1,abreujo02,2016,CHA,159,624,67,183,100.0,47,15.0,0.2932692307692308,0.35714285714285715,547989,788.0,610,1.2918032786885245,CWS
2,abreujo02,2017,CHA,156,621,95,189,102.0,35,15.0,0.30434782608695654,0.3561847988077496,547989,837.0,613,1.3654159869494291,CWS
3,abreujo02,2018,CHA,128,499,68,132,78.0,37,11.0,0.26452905811623245,0.3290676416819013,547989,631.0,490,1.2877551020408162,CWS
4,ahmedni01,2015,ARI,134,421,49,95,34.0,29,1.0,0.22565320665083136,0.2771618625277162,605113,443.0,410,1.0804878048780489,ARI
5,ahmedni01,2016,ARI,90,284,26,62,20.0,15,4.0,0.21830985915492956,0.26732673267326734,605113,333.0,278,1.1978417266187051,ARI
6,ahmedni01,2018,ARI,153,516,61,121,70.0,40,2.0,0.23449612403100775,0.2921146953405018,605113,582.0,499,1.1663326653306614,ARI
7,alonsyo01,2015,SDN,103,354,50,100,31.0,42,3.0,0.2824858757062147,0.3634085213032581,475174,477.0,347,1.3746397694524495,SD
8,alonsyo01,2016,OAK,156,482,52,122,56.0,45,1.0,0.25311203319502074,0.3181818181818182,475174,596.0,475,1.2547368421052632,OAK
9,alonsyo01,2017,OAK,100,319,52,85,49.0,50,2.0,0.2664576802507837,0.3692722371967655,475174,594.0,447,1.3288590604026846,SEA
10,alonsyo01,2017,OAK,100,319,52,85,49.0,50,2.0,0.2664576802507837,0.3692722371967655,475174,594.0,447,1.3288590604026846,OAK
11,alonsyo01,2018,CLE,145,516,64,129,83.0,51,2.0,0.25,0.31985940246045697,475174,592.0,506,1.1699604743083003,CLE
12,altuvjo01,2015,HOU,154,638,86,200,66.0,33,9.0,0.31347962382445144,0.3558823529411765,514888,896.0,652,1.3742331288343559,HOU
13,altuvjo01,2016,HOU,161,640,108,216,96.0,60,7.0,0.3375,0.4002828854314003,514888,909.0,624,1.4567307692307692,HOU
14,altuvjo01,2017,HOU,153,590,112,204,81.0,58,9.0,0.34576271186440677,0.4124809741248097,514888,977.0,653,1.4961715160796325,HOU
