,playerID,yearID,teamID,G,AB,R,H,RBI,BB,HBP,BA,OBP
99865,abreujo02,2015,CHA,154,613,88,178,101.0,39,15.0,0.2903752039151713,0.34782608695652173
99876,ahmedni01,2015,ARI,134,421,49,95,34.0,29,1.0,0.22565320665083136,0.2771618625277162
99887,alonsyo01,2015,SDN,103,354,50,100,31.0,42,3.0,0.2824858757062147,0.3634085213032581
99889,altuvjo01,2015,HOU,154,638,86,200,66.0,33,9.0,0.31347962382445144,0.3558823529411765
99894,alvarpe01,2015,PIT,150,437,60,106,77.0,48,2.0,0.2425629290617849,0.3203285420944558
99896,amarial01,2015,SDN,118,324,28,66,30.0,24,1.0,0.2037037037037037,0.2607449856733524
99902,andruel01,2015,TEX,160,596,69,154,62.0,46,2.0,0.25838926174496646,0.3136645962732919
99904,aokino01,2015,SFN,93,355,42,102,26.0,30,6.0,0.28732394366197184,0.35294117647058826
99908,arenano01,2015,COL,157,616,97,177,130.0,34,4.0,0.28733766233766234,0.3287461773700306
99914,ascheco01,2015,PHI,129,425,41,104,39.0,26,4.0,0.2447058823529412,0.2945054945054945
99922,avilemi01,2015,CLE,98,290,37,67,17.0,20,1.0,0.23103448275862068,0.2829581993569132
99925,aybarer01,2015,LAA,156,597,74,161,44.0,25,4.0,0.2696817420435511,0.3035143769968051
99937,barmecl01,2015,SDN,98,207,24,48,16.0,10,4.0,0.2318840579710145,0.28054298642533937
99939,barnebr02,2015,COL,106,255,30,64,17.0,21,3.0,0.25098039215686274,0.3154121863799283
99943,barnhtu01,2015,CIN,81,242,23,61,18.0,25,2.0,0.25206611570247933,0.3271375464684015
99952,bautijo02,2015,TOR,153,543,108,136,114.0,110,5.0,0.2504604051565378,0.38145896656534956
99956,beckhgo01,2015,CHA,100,211,24,44,20.0,19,2.0,0.20853080568720378,0.2801724137931034
99957,beckhti01,2015,TBA,82,203,24,45,37.0,13,3.0,0.22167487684729065,0.2785388127853881
99965,beltbr01,2015,SFN,137,492,73,138,68.0,56,4.0,0.2804878048780488,0.358695652173913
99966,beltrad01,2015,TEX,143,567,83,163,83.0,41,3.0,0.2874779541446208,0.33878887070376434
99967,beltrca01,2015,NYA,133,478,57,132,67.0,45,2.0,0.27615062761506276,0.34095238095238095
99976,bettsmo01,2015,BOS,145,597,92,174,77.0,46,2.0,0.2914572864321608,0.34418604651162793
99980,blackch02,2015,COL,157,614,93,176,58.0,46,13.0,0.28664495114006516,0.3491827637444279
99982,blancan01,2015,PHI,106,233,32,68,25.0,21,4.0,0.2918454935622318,0.36046511627906974
99983,blancgr01,2015,SFN,115,327,59,95,26.0,40,2.0,0.290519877675841,0.3712737127371274
99992,bogaexa01,2015,BOS,156,613,84,196,81.0,32,3.0,0.3197389885807504,0.35648148148148145
99998,bourju01,2015,MIA,129,409,42,107,73.0,34,2.0,0.2616136919315403,0.32134831460674157
99999,bournmi01,2015,CLE,95,289,29,71,19.0,29,0.0,0.24567474048442905,0.31446540880503143
100008,bradlja02,2015,BOS,74,221,43,55,43.0,27,3.0,0.248868778280543,0.3386454183266932
100009,brantmi02,2015,CLE,137,529,68,164,84.0,60,2.0,0.31001890359168244,0.3824027072758037
100011,braunry02,2015,MIL,140,506,87,144,84.0,54,4.0,0.2845849802371542,0.35815602836879434
100028,bruceja01,2015,CIN,157,580,72,131,87.0,58,2.0,0.22586206896551725,0.2984375
100029,bryankr01,2015,CHN,151,559,87,154,99.0,77,9.0,0.27549194991055453,0.37209302325581395
100039,burnsbi02,2015,OAK,125,520,70,153,42.0,26,6.0,0.29423076923076924,0.3351449275362319
100043,butlebi03,2015,OAK,151,538,63,135,65.0,52,7.0,0.25092936802973975,0.3249581239530988
100045,butlejo04,2015,TBA,88,257,30,71,30.0,16,3.0,0.27626459143968873,0.32608695652173914
100047,byrdma01,2015,CIN,96,359,46,85,42.0,23,3.0,0.23676880222841226,0.2883116883116883
100050,cabreas01,2015,TBA,143,505,66,134,58.0,36,3.0,0.26534653465346536,0.3180147058823529
100052,cabreme01,2015,CHA,158,629,70,172,77.0,40,2.0,0.27344992050874406,0.31892697466467956
100053,cabremi01,2015,DET,119,429,64,145,76.0,77,3.0,0.337995337995338,0.44204322200392926
100057,cainlo01,2015,KCA,140,551,101,169,72.0,37,12.0,0.30671506352087113,0.36333333333333334
100059,calhoko01,2015,LAA,159,630,78,161,83.0,45,5.0,0.25555555555555554,0.31029411764705883
100066,canhama01,2015,OAK,124,441,61,112,70.0,33,8.0,0.25396825396825395,0.31742738589211617
100067,canoro01,2015,SEA,156,624,82,179,79.0,43,3.0,0.28685897435897434,0.3358208955223881
100075,carpema01,2015,SLN,154,574,101,156,84.0,81,6.0,0.27177700348432055,0.367624810892587
100079,cartech02,2015,HOU,129,391,50,78,64.0,57,6.0,0.19948849104859334,0.31057268722466963
100082,casteni01,2015,DET,154,549,42,140,73.0,39,1.0,0.2550091074681239,0.30560271646859083
100083,castiru01,2015,BOS,80,273,35,69,29.0,13,1.0,0.25274725274725274,0.289198606271777
100086,castiwe01,2015,ARI,80,274,34,70,50.0,21,5.0,0.25547445255474455,0.32
100089,castrja01,2015,HOU,104,337,38,71,31.0,33,2.0,0.21068249258160238,0.2849462365591398
100093,castrst01,2015,CHN,151,547,52,145,69.0,21,5.0,0.26508226691042047,0.29842931937172773
100100,cervefr01,2015,PIT,130,451,56,133,43.0,46,8.0,0.29490022172949004,0.3702970297029703
100101,cespeyo01,2015,DET,102,403,62,118,61.0,19,1.0,0.29280397022332505,0.3262411347517731
100102,cespeyo01,2015,NYN,57,230,39,66,44.0,14,4.0,0.28695652173913044,0.3387096774193548
100112,chiriro01,2015,TEX,78,233,33,54,34.0,28,5.0,0.2317596566523605,0.32706766917293234
100113,chiselo01,2015,CLE,106,333,38,82,44.0,23,1.0,0.24624624624624625,0.2969187675070028
